East Providence,Central Falls,Pawtucket,Providence,North Providence,Greenville,Harmony,Pascoag,Harrisville,Woonsocket,Cumberland Hill,Valley Falls,Cranston,Warwick,West Warwick,East Greenwich,Wakefield,Kingston,West Kingston,Bradford,Westerly,Ashaway,Hope Valley,Newport,Tiverton,Bristol,Barrington,East Providence,1.5313500000000002E-4,2776.3125,309166.856443242
Tiverton,Bristol,Barrington,East Providence,Central Falls,Pawtucket,Providence,North Providence,Greenville,Harmony,Pascoag,Harrisville,Woonsocket,Cumberland Hill,Valley Falls,Cranston,Warwick,West Warwick,East Greenwich,Wakefield,Kingston,West Kingston,Bradford,Westerly,Ashaway,Hope Valley,Newport,Tiverton,1.52923E-4,2776.2890625,309166.85644324194
Bradford,Westerly,Ashaway,Hope Valley,West Warwick,East Greenwich,Warwick,Cranston,Providence,North Providence,Greenville,Harmony,Pascoag,Harrisville,Woonsocket,Cumberland Hill,Valley Falls,Central Falls,Pawtucket,East Providence,Barrington,Bristol,Tiverton,Newport,Wakefield,Kingston,West Kingston,Bradford,1.51062E-4,2776.2890625,283846.66597871203
West Warwick,East Greenwich,Warwick,Cranston,Providence,North Providence,Greenville,Harmony,Pascoag,Harrisville,Woonsocket,Cumberland Hill,Valley Falls,Central Falls,Pawtucket,East Providence,Barrington,Bristol,Tiverton,Newport,Wakefield,Kingston,West Kingston,Bradford,Westerly,Ashaway,Hope Valley,West Warwick,1.84985E-4,2776.2890625,283846.665978712
Central Falls,Pawtucket,Providence,North Providence,Greenville,Harmony,Pascoag,Harrisville,Woonsocket,Cumberland Hill,Valley Falls,Cranston,Warwick,West Warwick,East Greenwich,Wakefield,Kingston,West Kingston,Bradford,Westerly,Ashaway,Hope Valley,Newport,Tiverton,Bristol,Barrington,East Providence,Central Falls,1.56369E-4,2776.2890625,309166.85644324205
Newport,Tiverton,Bristol,Barrington,East Providence,Central Falls,Pawtucket,Providence,North Providence,Greenville,Harmony,Pascoag,Harrisville,Woonsocket,Cumberland Hill,Valley Falls,Cranston,Warwick,West Warwick,East Greenwich,Wakefield,Kingston,West Kingston,Bradford,Westerly,Ashaway,Hope Valley,Newport,1.51712E-4,2776.2890625,309166.85644324194
Bristol,Barrington,East Providence,Central Falls,Pawtucket,Providence,North Providence,Greenville,Harmony,Pascoag,Harrisville,Woonsocket,Cumberland Hill,Valley Falls,Cranston,Warwick,West Warwick,East Greenwich,Wakefield,Kingston,West Kingston,Bradford,Westerly,Ashaway,Hope Valley,Newport,Tiverton,Bristol,1.61761E-4,2776.2890625,309166.85644324194
Cumberland Hill,Valley Falls,Woonsocket,Harrisville,Pascoag,Harmony,Greenville,North Providence,Providence,Cranston,Warwick,West Warwick,East Greenwich,Wakefield,Kingston,West Kingston,Bradford,Westerly,Ashaway,Hope Valley,Newport,Tiverton,Bristol,Barrington,East Providence,Central Falls,Pawtucket,Cumberland Hill,1.5267200000000002E-4,2776.3125,308363.47575918207
Kingston,West Kingston,Wakefield,East Greenwich,West Warwick,Warwick,Cranston,Providence,North Providence,Greenville,Harmony,Pascoag,Harrisville,Woonsocket,Cumberland Hill,Valley Falls,Central Falls,Pawtucket,East Providence,Barrington,Bristol,Tiverton,Newport,Bradford,Westerly,Ashaway,Hope Valley,Kingston,1.5278E-4,2776.2890625,321743.55224148196
Central Falls,Pawtucket,Providence,North Providence,Greenville,Harmony,Pascoag,Harrisville,Woonsocket,Cumberland Hill,Valley Falls,Cranston,Warwick,West Warwick,East Greenwich,Wakefield,Kingston,West Kingston,Bradford,Westerly,Ashaway,Hope Valley,Newport,Tiverton,Bristol,Barrington,East Providence,Central Falls,1.5052700000000002E-4,2776.3125,309166.85644324205
Barrington,Bristol,Tiverton,Newport,Wakefield,Kingston,West Kingston,Bradford,Westerly,Ashaway,Hope Valley,West Warwick,East Greenwich,Warwick,Cranston,Providence,North Providence,Greenville,Harmony,Pascoag,Harrisville,Woonsocket,Cumberland Hill,Valley Falls,Central Falls,Pawtucket,East Providence,Barrington,1.5865900000000001E-4,2776.3125,283846.66597871203
West Warwick,East Greenwich,Warwick,Cranston,Providence,North Providence,Greenville,Harmony,Pascoag,Harrisville,Woonsocket,Cumberland Hill,Valley Falls,Central Falls,Pawtucket,East Providence,Barrington,Bristol,Tiverton,Newport,Wakefield,Kingston,West Kingston,Bradford,Westerly,Ashaway,Hope Valley,West Warwick,1.51594E-4,2776.2890625,283846.665978712
Pascoag,Harrisville,Harmony,Greenville,North Providence,Providence,Cranston,Warwick,West Warwick,East Greenwich,Wakefield,Kingston,West Kingston,Bradford,Westerly,Ashaway,Hope Valley,Newport,Tiverton,Bristol,Barrington,East Providence,Central Falls,Pawtucket,Valley Falls,Cumberland Hill,Woonsocket,Pascoag,1.53322E-4,2776.2890625,311289.997179362
Bradford,Westerly,Ashaway,Hope Valley,West Warwick,East Greenwich,Warwick,Cranston,Providence,North Providence,Greenville,Harmony,Pascoag,Harrisville,Woonsocket,Cumberland Hill,Valley Falls,Central Falls,Pawtucket,East Providence,Barrington,Bristol,Tiverton,Newport,Wakefield,Kingston,West Kingston,Bradford,1.72191E-4,2776.2890625,283846.66597871203
Cranston,Providence,North Providence,Greenville,Harmony,Pascoag,Harrisville,Woonsocket,Cumberland Hill,Valley Falls,Central Falls,Pawtucket,East Providence,Barrington,Bristol,Tiverton,Newport,Wakefield,Kingston,West Kingston,Bradford,Westerly,Ashaway,Hope Valley,West Warwick,East Greenwich,Warwick,Cranston,1.5150300000000002E-4,2776.3125,283846.665978712
Bristol,Barrington,East Providence,Central Falls,Pawtucket,Providence,North Providence,Greenville,Harmony,Pascoag,Harrisville,Woonsocket,Cumberland Hill,Valley Falls,Cranston,Warwick,West Warwick,East Greenwich,Wakefield,Kingston,West Kingston,Bradford,Westerly,Ashaway,Hope Valley,Newport,Tiverton,Bristol,1.62823E-4,2776.2890625,309166.85644324194
