SOLVER NUMBER,STATE,NUM CITIES,TIME,MEMORY,DISTANCE,,,,
4,RI,27,0.001828974,2812.5625,321388.647341502,,0.4686351003,2.7709844581302E-053,0.000000894
4,RI,27,0.001873766,2812.5390625,315542.551773512,,1vs,1vs,1vs
4,RI,27,0.001949495,2812.5390625,298588.101591442,,1.78251228944284E-006,5.00931027244448E-054,4.6491821954308E-005
4,RI,27,0.001883132,2812.5390625,315542.551773512,,4.25274306963372E-042,2.31230144830506E-023,4.47170148205482E-006
4,RI,27,0.002236649,2812.5625,304875.577876542,,0.0001384551,7.91750148173179E-056,0.0005136968
4,RI,27,0.001392301,2812.5390625,318559.786577502,,0.0001735737,1.4862120648237E-070,0.1358212903
4,RI,27,0.002554181,2812.5390625,302655.242440142,,0vs,0vs,0vs
4,RI,27,0.002250225,2812.5625,327061.41873675,,0.1589194135,9.45743003096538E-053,2.64266133413339E-008
4,RI,27,0.003275574,2812.5625,317126.347771342,,7.06126299163191E-056,5.10450771391785E-079,8.61435084747085E-010
4,RI,27,0.003512263,2812.5625,304947.245058142,,0.4686351003,2.7709844581302E-053,0.000000894
4,RI,27,0.00319403,2812.5390625,307978.009811482,,0.0001735737,1.4862120648237E-070,0.1358212903
4,RI,27,0.00232578,2812.5390625,307978.009811482,,,,
4,RI,27,0.00269646,2812.5625,303972.035539412,,,,
4,RI,27,0.001730489,2812.5625,315542.551773512,,,,
4,RI,27,0.00250555,2812.5390625,319460.070470452,,,,
4,RI,27,0.002101829,2812.5390625,317126.347771342,,,,
4,RI,27,0.001261821,2812.5390625,298965.243551412,,,,
4,RI,27,0.002407178,2812.5625,323524.955289612,,,,
4,RI,27,0.003148803,2812.5625,315504.298176702,,,,
4,RI,27,0.001356486,2812.5390625,304875.577876542,,,,
4,RI,27,0.001207061,2812.5625,308008.948593262,,,,
4,RI,27,0.002487528,2812.5390625,302655.242440142,,,,
4,RI,27,0.00265484,2812.5625,318559.786577502,,,,
4,RI,27,0.002613437,2812.5390625,304947.245058142,,,,
4,RI,27,0.001044627,2812.3671875,297736.378724022,,,,
4,RI,27,0.001015495,2812.265625,297736.378724022,,,,
4,RI,27,0.001927923,2812.4375,307978.009811482,,,,
4,RI,27,0.002366581,2812.5390625,303972.035539412,,,,
4,RI,27,0.002592806,2812.5390625,324275.94243335,,,,
4,RI,27,0.002610864,2812.5390625,304875.577876542,,,,
4,RI,27,0.002592897,2812.5625,321388.647341502,,,,
4,RI,27,0.00281929,2812.5625,304947.245058142,,,,
4,RI,27,0.001062639,2812.5390625,318559.786577502,,,,
4,RI,27,0.002816781,2812.5390625,310618.291858542,,,,
4,RI,27,0.001676486,2812.5390625,315504.298176702,,,,
4,RI,27,0.004242315,2812.5390625,315504.298176702,,,,
4,RI,27,0.002185532,2812.3671875,297736.378724022,,,,
4,RI,27,0.000997207,2812.4140625,323524.955289612,,,,
4,RI,27,0.002480187,2812.5390625,327061.41873675,,,,
4,RI,27,0.001198953,2812.5390625,315504.298176702,,,,
4,RI,27,0.002450395,2812.5390625,323524.955289612,,,,
4,RI,27,0.001093857,2812.5625,310618.291858542,,,,
4,RI,27,0.002546435,2812.5390625,326310.431593012,,,,
4,RI,27,0.001659314,2812.5390625,314784.990759372,,,,
4,RI,27,0.002080966,2812.5390625,314419.928230242,,,,
4,RI,27,0.002175846,2812.5390625,304875.577876542,,,,
4,RI,27,0.001075646,2812.5390625,303933.687178282,,,,
4,RI,27,0.001574527,2812.5390625,327061.41873675,,,,
4,RI,27,0.001094129,2812.5390625,302655.242440142,,,,
4,RI,27,0.000995324,2812.5546875,321388.647341502,,,,
4,RI,27,0.001842342,2812.5390625,323524.955289612,,,,
4,RI,27,0.000964693,2812.5546875,317126.347771342,,,,
4,RI,27,0.001975417,2812.5390625,321388.647341502,,,,
4,RI,27,0.002345626,2812.5390625,323524.955289612,,,,
4,RI,27,0.001548627,2812.5625,304928.478056642,,,,
4,RI,27,0.000841709,2812.6015625,318559.786577502,,,,
4,RI,27,0.002188684,2812.5859375,272432.053087642,,,,
4,RI,27,0.001698509,2812.609375,315504.298176702,,,,
4,RI,27,0.002127034,2812.609375,310618.291858542,,,,
4,RI,27,0.000838646,2812.4296875,300024.043921012,,,,
4,RI,27,0.001341872,2812.4609375,315504.298176702,,,,
4,RI,27,0.000820741,2812.5859375,317126.347771342,,,,
