STATE,TIME,MEMORY,DISTANCE
DE,0.001021575,4797.46875,791262.1618521673
DE,0.001412178,4797.46875,777331.4333244275
DE,0.0015181510000000001,4797.4921875,798193.0742301075
DE,0.0026939060000000003,4797.4921875,771223.4463497774
DE,0.002205719,4797.46875,777331.4333244275
DE,0.0010658,4797.46875,775232.6199328273
DE,0.0018660800000000002,4797.4921875,772870.7678519743
DE,0.0010270210000000001,4797.4921875,777481.0620235004
DE,0.001178564,4797.46875,748511.9015787672
DE,0.0025525,4797.46875,801896.0149833374
DE,0.001723733,4797.46875,771465.2302202674
DE,0.001028777,4797.46875,739444.1242534672
DE,0.0025658530000000003,4797.4921875,770839.8496327673
DE,0.001386815,4797.46875,762379.4959931673
DE,0.001104704,4797.46875,759757.7760449674
DE,0.004010396,4797.46875,790811.8858557073
DE,0.001241588,4797.46875,766198.8635914773
DE,0.001021907,4797.46875,779876.7933533074
DE,0.002199167,4797.46875,797067.0631568785
DE,0.002947012,4797.46875,779876.7933533074
DE,0.001319676,4797.46875,777224.2830024874
DE,0.0023743310000000004,4797.4921875,756616.2455850673
DE,0.0010875540000000001,4797.4921875,777589.0441462673
DE,0.0026618360000000003,4797.4921875,748511.9015787672
DE,0.00208144,4797.46875,813936.8319451273
DE,0.001880415,4797.46875,777224.2830024874
DE,0.00102716,4797.46875,801896.0149833374
DE,0.001121658,4797.46875,796384.6210213575
DE,0.001782067,4797.46875,791262.1618521673
DE,0.002413419,4797.46875,784924.6407729972
DE,0.001013318,4797.46875,756995.4045679672
DE,0.001113118,4797.46875,756616.2455851074
DE,0.001086004,4797.46875,756616.2455851074
DE,0.001018161,4797.46875,777164.8038328673
DE,0.00108395,4797.46875,761469.5471144774
DE,0.0013256160000000002,4797.4921875,779876.7933533074
DE,0.001377046,4797.46875,771465.2302202674
DE,0.001315341,4797.46875,772870.7678517775
DE,0.0012460910000000002,4797.4921875,777224.2830025174
DE,0.001147655,4797.46875,796281.8963164674
DE,0.0013252820000000001,4797.4921875,766198.8635911371
DE,0.001221934,4797.46875,791262.1618521673
DE,0.0013477930000000001,4797.4921875,761469.5471144973
DE,0.001070103,4797.46875,756616.2455851074
DE,0.001022307,4797.46875,778496.2165819975
DE,0.001045885,4797.46875,756995.4045679672
DE,0.001048881,4797.46875,777224.2830024874
DE,0.0022948820000000003,4797.4921875,813936.8319451273
DE,0.002248721,4797.46875,798193.0742301075
DE,0.001010058,4797.46875,779533.0361370672
DE,0.002446849,4797.46875,761469.5471144973
DE,0.002606213,4797.46875,767539.5188117473
DE,0.0010841470000000001,4797.4921875,813936.8319451873
DE,0.001151317,4797.46875,789656.1612084773
DE,0.001113132,4797.46875,777331.4333244275
DE,0.0023939630000000003,4797.4921875,771223.4463497774
DE,0.00126059,4797.46875,767539.5188117473
DE,0.0010466470000000002,4797.4921875,768609.2481067973
DE,0.001320792,4797.46875,766198.8635915073
DE,0.001213185,4797.46875,797265.7228376674
DE,0.002416187,4797.46875,779533.0361370672
DE,0.0019224510000000002,4797.4921875,771580.7344741673
DE,0.002677886,4797.46875,789656.1612084773
DE,0.002152339,4797.46875,798193.0742301075
DE,0.0024496820000000003,4797.4921875,813936.8319451873
DE,0.001085856,4797.46875,796384.6210213575
DE,0.002397845,4797.46875,797265.7228376674
DE,9.57082E-4,4797.46875,756995.4045679672
DE,9.52599E-4,4797.46875,796417.8599987974
DE,9.79173E-4,4797.46875,769734.3577857374
DE,0.001956218,4797.46875,768035.1900510073
DE,0.001374234,4797.46875,779876.7933533074
AVG-DE,0.0015945004900000004,5586.0703125,777964.2375944118,
VT,0.004091031,86134.28125,3248576.5558129502
VT,0.002735945,7491.1328125,3029607.95818545
VT,0.004087697,5993.6171875,2981257.464620581
VT,0.003406168,5993.6171875,3206657.503406389
VT,0.0032615170000000002,5993.640625,3150311.406025
VT,0.005361027,5993.6171875,2937722.4180751997
VT,0.005847935,5993.6171875,3145593.50133205
VT,0.003971832000000001,5993.6328125,3330887.6974182003
VT,0.00324486,5993.6171875,3330887.6974183
VT,0.003845559,5993.6171875,3237664.3404589496
VT,0.003778126,5993.6171875,2937722.4180751997
VT,0.0022563260000000003,5993.640625,3069591.84176097
VT,0.002547802,5993.6171875,3092860.7718463507
VT,0.0031017080000000003,5993.640625,3253308.80455915
VT,0.0025485850000000003,5993.640625,3150311.406025
VT,0.0022011220000000002,5993.640625,2921302.9538156497
VT,0.0023500860000000004,5993.640625,2903146.1383162006
VT,0.004457076,5993.6171875,3035009.3819573806
VT,0.003740634,5993.6171875,3206657.503406389
VT,0.002712289,5993.6171875,3233121.4107986996
VT,0.003577218,5993.6171875,2984492.5877393996
VT,0.003609891,5993.6171875,3108766.2324455003
VT,0.002136186,5993.6171875,2903146.1383162006
VT,0.00239197,5993.6171875,3252080.1361425007
VT,0.0033277840000000003,5993.640625,3102618.2100904887
VT,0.002732744,5993.6171875,3145593.50133205
VT,0.0026828750000000004,5993.640625,3115338.9068485606
VT,0.0027867720000000003,5993.640625,3107652.08656285
VT,0.003981149000000001,5993.6328125,3030192.63175958
VT,0.0028913460000000004,5993.640625,2962854.3674162994
